,tracks,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,url,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_url,genres,popularity,track_url,created_year,rank
0,夜に駆ける,YOASOBI,0.67,0.874,8.0,-5.221,1.0,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,audio_features,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,3dPtXHP0oXQ4HCWHsOA9js,spotify:track:3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/tracks/3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,261013.0,4.0,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,"['j-pop', 'japanese teen pop']",73,https://open.spotify.com/embed/track/3dPtXHP0oXQ4HCWHsOA9js,2022,1
1,踊り子,Vaundy,0.718,0.475,7.0,-11.469,1.0,0.0611,0.845,0.801,0.105,0.678,157.032,audio_features,https://open.spotify.com/track/4xk70Qur2QeRmWIzWPC63V,4xk70Qur2QeRmWIzWPC63V,spotify:track:4xk70Qur2QeRmWIzWPC63V,https://api.spotify.com/v1/tracks/4xk70Qur2QeRmWIzWPC63V,https://api.spotify.com/v1/audio-analysis/4xk70Qur2QeRmWIzWPC63V,230110.0,4.0,https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,"['j-pop', 'japanese soul']",71,https://open.spotify.com/embed/track/4xk70Qur2QeRmWIzWPC63V,2022,2
2,脳裏上のクラッカー,ZUTOMAYO,0.729,0.886,10.0,-2.852,0.0,0.079,0.119,1.93e-05,0.384,0.757,128.063,audio_features,https://open.spotify.com/track/3FRU8JI3EK9G7hXSP3P4R8,3FRU8JI3EK9G7hXSP3P4R8,spotify:track:3FRU8JI3EK9G7hXSP3P4R8,https://api.spotify.com/v1/tracks/3FRU8JI3EK9G7hXSP3P4R8,https://api.spotify.com/v1/audio-analysis/3FRU8JI3EK9G7hXSP3P4R8,270000.0,4.0,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,['j-pop'],64,https://open.spotify.com/embed/track/3FRU8JI3EK9G7hXSP3P4R8,2022,3
3,Mela!,Ryokuoushoku Shakai,0.619,0.941,8.0,-1.618,1.0,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,audio_features,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD,6IO5nn84TKArsi3cjpIqaD,spotify:track:6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/tracks/6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/audio-analysis/6IO5nn84TKArsi3cjpIqaD,242067.0,4.0,https://open.spotify.com/artist/4SJ7qRgJYNXB9Yttzs4aSa,['j-pop'],60,https://open.spotify.com/embed/track/6IO5nn84TKArsi3cjpIqaD,2022,4
4,まちがいさがし,Masaki Suda,0.534,0.642,2.0,-5.568,1.0,0.0372,0.52,0.0,0.39,0.443,155.916,audio_features,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc,4Jj31lihp5Nvdi4lFRjrqc,spotify:track:4Jj31lihp5Nvdi4lFRjrqc,https://api.spotify.com/v1/tracks/4Jj31lihp5Nvdi4lFRjrqc,https://api.spotify.com/v1/audio-analysis/4Jj31lihp5Nvdi4lFRjrqc,223640.0,4.0,https://open.spotify.com/artist/6n4SsAp5VjvIBg3s9QCcPX,"['anime rock', 'j-pop', 'japanese punk rock']",59,https://open.spotify.com/embed/track/4Jj31lihp5Nvdi4lFRjrqc,2022,5
5,ハゼ馳せる果てるまで,ZUTOMAYO,0.759,0.961,7.0,-2.663,0.0,0.11,0.343,1.66e-06,0.0843,0.728,135.936,audio_features,https://open.spotify.com/track/2wrSQcRHBksoXNMn4lZNfv,2wrSQcRHBksoXNMn4lZNfv,spotify:track:2wrSQcRHBksoXNMn4lZNfv,https://api.spotify.com/v1/tracks/2wrSQcRHBksoXNMn4lZNfv,https://api.spotify.com/v1/audio-analysis/2wrSQcRHBksoXNMn4lZNfv,244707.0,4.0,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,['j-pop'],64,https://open.spotify.com/embed/track/2wrSQcRHBksoXNMn4lZNfv,2022,6
6,Mend your ways,Such,0.651,0.893,8.0,-2.908,0.0,0.252,0.00132,0.329,0.165,0.527,167.924,audio_features,https://open.spotify.com/track/4xd74F3rBrpIRyZpKQhuqM,4xd74F3rBrpIRyZpKQhuqM,spotify:track:4xd74F3rBrpIRyZpKQhuqM,https://api.spotify.com/v1/tracks/4xd74F3rBrpIRyZpKQhuqM,https://api.spotify.com/v1/audio-analysis/4xd74F3rBrpIRyZpKQhuqM,265805.0,4.0,https://open.spotify.com/artist/0m7tILDYjOZCFFVVGmI3io,['kawaii edm'],44,https://open.spotify.com/embed/track/4xd74F3rBrpIRyZpKQhuqM,2022,7
7,再生,Perfume,0.516,0.917,6.0,-2.405,1.0,0.0326,0.0179,0.00101,0.0867,0.76,150.05,audio_features,https://open.spotify.com/track/5ZiAYujs7k4C8ByqZX7n3A,5ZiAYujs7k4C8ByqZX7n3A,spotify:track:5ZiAYujs7k4C8ByqZX7n3A,https://api.spotify.com/v1/tracks/5ZiAYujs7k4C8ByqZX7n3A,https://api.spotify.com/v1/audio-analysis/5ZiAYujs7k4C8ByqZX7n3A,283440.0,4.0,https://open.spotify.com/artist/2XMxWKPKCxoLkSdpCViCnr,"['bitpop', 'j-idol', 'j-pop', 'j-pop girl group', 'japanese electropop', 'shibuya-kei']",55,https://open.spotify.com/embed/track/5ZiAYujs7k4C8ByqZX7n3A,2022,8
8,Sentimental heart boy,Such,0.629,0.958,9.0,-2.162,0.0,0.156,0.0199,1.57e-05,0.32,0.83,160.045,audio_features,https://open.spotify.com/track/2R60VK2bw0erSEUeIpDnM8,2R60VK2bw0erSEUeIpDnM8,spotify:track:2R60VK2bw0erSEUeIpDnM8,https://api.spotify.com/v1/tracks/2R60VK2bw0erSEUeIpDnM8,https://api.spotify.com/v1/audio-analysis/2R60VK2bw0erSEUeIpDnM8,218493.0,4.0,https://open.spotify.com/artist/0m7tILDYjOZCFFVVGmI3io,['kawaii edm'],44,https://open.spotify.com/embed/track/2R60VK2bw0erSEUeIpDnM8,2022,9
9,だから僕は音楽を辞めた,ヨルシカ,0.65,0.88,4.0,-5.326,1.0,0.0283,0.36,0.00369,0.23,0.921,124.985,audio_features,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM,5j7ixaLeGTGSv4DzKs0pCM,spotify:track:5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/tracks/5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/audio-analysis/5j7ixaLeGTGSv4DzKs0pCM,242913.0,4.0,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],65,https://open.spotify.com/embed/track/5j7ixaLeGTGSv4DzKs0pCM,2022,10
10,ただ君に晴れ,ヨルシカ,0.679,0.834,5.0,-3.223,1.0,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971.0,4.0,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],65,https://open.spotify.com/embed/track/3wJHCry960drNlAUGrJLmz,2022,11
11,恋はキライだ,Sangatsu no Phantasia,0.674,0.736,11.0,-3.859,1.0,0.0341,0.00254,0.0834,0.273,0.832,121.945,audio_features,https://open.spotify.com/track/6HOTgamtYw499WiL2ujiS4,6HOTgamtYw499WiL2ujiS4,spotify:track:6HOTgamtYw499WiL2ujiS4,https://api.spotify.com/v1/tracks/6HOTgamtYw499WiL2ujiS4,https://api.spotify.com/v1/audio-analysis/6HOTgamtYw499WiL2ujiS4,214456.0,4.0,https://open.spotify.com/artist/5WmX340gDNLIAyUcg4MzWN,"['anime', 'j-pixie']",45,https://open.spotify.com/embed/track/6HOTgamtYw499WiL2ujiS4,2022,12
12,Grand Escape (feat. Toko Miura),RADWIMPS,0.566,0.534,4.0,-7.414,1.0,0.0356,0.243,8.28e-05,0.116,0.4,146.033,audio_features,https://open.spotify.com/track/6CRX3ENpLq42r0iBSjOqr1,6CRX3ENpLq42r0iBSjOqr1,spotify:track:6CRX3ENpLq42r0iBSjOqr1,https://api.spotify.com/v1/tracks/6CRX3ENpLq42r0iBSjOqr1,https://api.spotify.com/v1/audio-analysis/6CRX3ENpLq42r0iBSjOqr1,339160.0,4.0,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",69,https://open.spotify.com/embed/track/6CRX3ENpLq42r0iBSjOqr1,2022,13
13,Celebration (feat. Toko Miura),RADWIMPS,0.497,0.924,6.0,-2.132,0.0,0.0655,0.092,0.0,0.0993,0.681,151.997,audio_features,https://open.spotify.com/track/7dJLRobSnGBar7G1YhsId9,7dJLRobSnGBar7G1YhsId9,spotify:track:7dJLRobSnGBar7G1YhsId9,https://api.spotify.com/v1/tracks/7dJLRobSnGBar7G1YhsId9,https://api.spotify.com/v1/audio-analysis/7dJLRobSnGBar7G1YhsId9,274240.0,4.0,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",69,https://open.spotify.com/embed/track/7dJLRobSnGBar7G1YhsId9,2022,14
14,Shine On Me,Sakurako Ohara,0.666,0.909,1.0,-4.229,0.0,0.0579,0.102,0.0,0.0809,0.576,113.014,audio_features,https://open.spotify.com/track/1IWIDiuMyqfPwin6QIPVqD,1IWIDiuMyqfPwin6QIPVqD,spotify:track:1IWIDiuMyqfPwin6QIPVqD,https://api.spotify.com/v1/tracks/1IWIDiuMyqfPwin6QIPVqD,https://api.spotify.com/v1/audio-analysis/1IWIDiuMyqfPwin6QIPVqD,257747.0,4.0,https://open.spotify.com/artist/5TS11vZTUaDP4maTjFCcBU,"['j-acoustic', 'j-idol', 'j-pop']",41,https://open.spotify.com/embed/track/1IWIDiuMyqfPwin6QIPVqD,2022,15
15,STORIES,fhána,0.697,0.779,7.0,-7.097,1.0,0.0373,0.0342,0.15,0.114,0.523,126.05,audio_features,https://open.spotify.com/track/0vNPq8QwWxOsgTRo7bhgyf,0vNPq8QwWxOsgTRo7bhgyf,spotify:track:0vNPq8QwWxOsgTRo7bhgyf,https://api.spotify.com/v1/tracks/0vNPq8QwWxOsgTRo7bhgyf,https://api.spotify.com/v1/audio-analysis/0vNPq8QwWxOsgTRo7bhgyf,235333.0,4.0,https://open.spotify.com/artist/5COrwcYLHQePdWt9V12iqv,['anime'],44,https://open.spotify.com/embed/track/0vNPq8QwWxOsgTRo7bhgyf,2022,16
16,癒えないキスをして*,ロイ-RöE-,0.841,0.667,7.0,-5.216,1.0,0.0326,0.302,0.00142,0.0578,0.952,120.032,audio_features,https://open.spotify.com/track/02Q3hh1O8sw5WFWpT1Qvmm,02Q3hh1O8sw5WFWpT1Qvmm,spotify:track:02Q3hh1O8sw5WFWpT1Qvmm,https://api.spotify.com/v1/tracks/02Q3hh1O8sw5WFWpT1Qvmm,https://api.spotify.com/v1/audio-analysis/02Q3hh1O8sw5WFWpT1Qvmm,228670.0,4.0,https://open.spotify.com/artist/6usmKMApacFmV6iZbnsMw6,[],32,https://open.spotify.com/embed/track/02Q3hh1O8sw5WFWpT1Qvmm,2022,17
17,向日葵,manaco,0.524,0.95,9.0,-3.117,1.0,0.0785,0.0576,2.3e-06,0.0681,0.554,163.987,audio_features,https://open.spotify.com/track/1FyKFxyw3pA93jV5JWTd3X,1FyKFxyw3pA93jV5JWTd3X,spotify:track:1FyKFxyw3pA93jV5JWTd3X,https://api.spotify.com/v1/tracks/1FyKFxyw3pA93jV5JWTd3X,https://api.spotify.com/v1/audio-analysis/1FyKFxyw3pA93jV5JWTd3X,265640.0,4.0,https://open.spotify.com/artist/2z0YOWu3zkbREo7VHyvQoK,[],23,https://open.spotify.com/embed/track/1FyKFxyw3pA93jV5JWTd3X,2022,18
18,トクベツ,manaco,0.629,0.877,6.0,-2.184,1.0,0.0413,0.0137,1.6e-06,0.104,0.468,142.0,audio_features,https://open.spotify.com/track/1shwXh1gAaNxo8SOYkCN5I,1shwXh1gAaNxo8SOYkCN5I,spotify:track:1shwXh1gAaNxo8SOYkCN5I,https://api.spotify.com/v1/tracks/1shwXh1gAaNxo8SOYkCN5I,https://api.spotify.com/v1/audio-analysis/1shwXh1gAaNxo8SOYkCN5I,227960.0,4.0,https://open.spotify.com/artist/2z0YOWu3zkbREo7VHyvQoK,[],23,https://open.spotify.com/embed/track/1shwXh1gAaNxo8SOYkCN5I,2022,19
